run	sample_id	sample	replicate
ERR527178	ERS475286	LD-31	Run4
ERR527179	ERS475287	LD-32	Run2
ERR527180	ERS475288	LD-32	Run5
ERR527181	ERS475289	LD-33	Run2
ERR527182	ERS475290	LD-34	Run2
ERR527183	ERS475291	LD-35	Run3
ERR527184	ERS475292	LD-36	Run2
ERR527185	ERS475293	LD-36	Run3
ERR527186	ERS475294	LD-36	Run5
ERR527187	ERS475295	LD-37	Run2
ERR527188	ERS475296	LD-38	Run2
ERR527189	ERS475297	LD-39	Run2
ERR527190	ERS475298	LD-4	Run1
ERR527191	ERS475299	LD-40	Run2
ERR527192	ERS475300	LD-40	Run3
ERR527193	ERS475301	LD-40	Run4
ERR527194	ERS475302	LD-41	Run2
ERR527195	ERS475303	LD-42	Run2
ERR527196	ERS475304	LD-43	Run5
ERR527197	ERS475305	LD-44	Run2
ERR527198	ERS475306	LD-45	Run2
ERR527199	ERS475307	LD-46	Run2
ERR527200	ERS475308	LD-47	Run2
ERR527201	ERS475309	LD-47	Run3
ERR527202	ERS475310	LD-48	Run2
ERR527203	ERS475311	LD-48	Run5
ERR527204	ERS475312	LD-49	Run2
ERR527205	ERS475313	LD-49	Run5
ERR527206	ERS475314	LD-5	Run1
ERR527207	ERS475315	LD-50	Run4
ERR527208	ERS475316	LD-51	Run3
ERR527209	ERS475317	LD-52	Run3
ERR527210	ERS475318	LD-53	Run3
ERR527211	ERS475319	LD-54	Run3
ERR527212	ERS475320	LD-55	Run3
ERR527213	ERS475321	LD-55	Run4
ERR527214	ERS475322	LD-56	Run3
ERR527215	ERS475323	LD-56	Run4
ERR527216	ERS475324	LD-57	Run5
ERR527217	ERS475325	LD-58	Run3
ERR527218	ERS475326	LD-59	Run3
ERR528291	ERS475379	LV1	Run1
ERR528292	ERS475380	LV1	Run6
ERR528293	ERS475381	LV10	Run2
ERR528294	ERS475382	LV10	Run5
ERR528295	ERS475383	LV11	Run4
ERR528296	ERS475384	LV12	Run2
ERR528297	ERS475385	LV13	Run3
ERR528298	ERS475386	LV13	Run5
ERR528299	ERS475387	LV14	Run3
ERR528300	ERS475388	LV14	Run4
ERR528301	ERS475389	LV15	Run3
ERR528302	ERS475390	LV15	Run4
ERR528303	ERS475391	LV16	Run4
ERR528304	ERS475392	LV17	Run4
ERR528305	ERS475393	LV18	Run4
ERR528306	ERS475394	LV18	Run6
ERR528307	ERS475395	LV19	Run4
ERR528308	ERS475396	LV2	Run4
ERR528309	ERS475397	LV2	Run6
ERR528310	ERS475398	LV20	Run4
ERR528311	ERS475399	LV21	Run4
ERR528312	ERS475400	LV22	Run6
ERR528313	ERS475401	LV23	Run6
ERR528314	ERS475402	LV24	Run6
ERR528315	ERS475403	LV25	Run2
ERR528316	ERS475404	LV25	Run3
ERR528317	ERS475405	LV25	Run6
ERR528318	ERS475406	LV3	Run4
ERR528319	ERS475407	LV3	Run6
ERR528320	ERS475408	LV4	Run3
ERR528321	ERS475409	LV4	Run5
ERR528322	ERS475410	LV5	Run3
ERR528323	ERS475411	LV5	Run5
ERR528324	ERS475412	LV6	Run2
ERR528325	ERS475413	LV7	Run2
ERR528326	ERS475414	LV7	Run5
ERR528327	ERS475415	LV8	Run5
ERR528328	ERS475416	LV9	Run2
ERR528329	ERS475105	HD-1	Run4
ERR528330	ERS475191	HD-7	Run1
ERR528331	ERS475201	HD-79	Run6
ERR528332	ERS475202	HD-8	Run1
ERR528333	ERS475203	HD-80	Run6
ERR528334	ERS475204	HD-81	Run6
ERR528335	ERS475205	HD-82	Run6
ERR528336	ERS475206	HD-83	Run6
ERR528337	ERS475207	HD-9	Run1
ERR528721	ERS475327	LD-6	Run1
ERR528722	ERS475328	LD-6	Run5
ERR528723	ERS475329	LD-60	Run3
