"sample"	"env"	"dataset"
"Tongue.dorsum..160178356"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160643649"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158337416"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158802708"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158883629"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159005010"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158256496"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159247771"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160704339"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160380657"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159227541"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..246515023"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159753524"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159510762"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158479027"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159632143"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160502038"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159369152"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158742018"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160158126"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159814214"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159551223"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160218816"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159268001"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158499257"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159611913"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..158944319"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..638754422"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..809635352"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..370425937"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..604812005"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763961826"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763577454"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763496533"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763759525"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764062976"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765034022"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..508703490"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765074482"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..823052294"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764588959"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763840445"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763901136"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764224817"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764447348"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763435843"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..338793263"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764143897"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764508039"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764487809"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765701615"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765620695"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764285508"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764083206"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764042746"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764649650"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764325968"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765094712"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765337473"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765013792"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764892411"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..404239096"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..706846339"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763982056"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764305738"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763860675"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..861967750"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765560005"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763820215"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..737052003"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..764811490"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..763536994"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..550534656"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..765640925"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..686765762"	"Tongue.dorsum"	"HMP"
"Anterior.nares..159490532"	"Anterior.nares"	"HMP"
"Anterior.nares..159571453"	"Anterior.nares"	"HMP"
"Anterior.nares..159713063"	"Anterior.nares"	"HMP"
"Anterior.nares..159915365"	"Anterior.nares"	"HMP"
"Anterior.nares..160319967"	"Anterior.nares"	"HMP"
"Anterior.nares..160400887"	"Anterior.nares"	"HMP"
"Anterior.nares..160582958"	"Anterior.nares"	"HMP"
"Anterior.nares..160603188"	"Anterior.nares"	"HMP"
"Anterior.nares..160765029"	"Anterior.nares"	"HMP"
"Anterior.nares..159591683"	"Anterior.nares"	"HMP"
"Anterior.nares..159207311"	"Anterior.nares"	"HMP"
"Anterior.nares..160178356"	"Anterior.nares"	"HMP"
"Anterior.nares..160643649"	"Anterior.nares"	"HMP"
"Anterior.nares..158337416"	"Anterior.nares"	"HMP"
"Anterior.nares..158883629"	"Anterior.nares"	"HMP"
"Anterior.nares..158256496"	"Anterior.nares"	"HMP"
"Anterior.nares..159247771"	"Anterior.nares"	"HMP"
"Anterior.nares..160704339"	"Anterior.nares"	"HMP"
"Anterior.nares..160380657"	"Anterior.nares"	"HMP"
"Anterior.nares..159753524"	"Anterior.nares"	"HMP"
"Anterior.nares..159510762"	"Anterior.nares"	"HMP"
"Anterior.nares..160421117"	"Anterior.nares"	"HMP"
"Anterior.nares..158479027"	"Anterior.nares"	"HMP"
"Anterior.nares..159369152"	"Anterior.nares"	"HMP"
"Anterior.nares..158742018"	"Anterior.nares"	"HMP"
"Anterior.nares..159814214"	"Anterior.nares"	"HMP"
"Anterior.nares..159551223"	"Anterior.nares"	"HMP"
"Anterior.nares..160218816"	"Anterior.nares"	"HMP"
"Anterior.nares..158499257"	"Anterior.nares"	"HMP"
"Anterior.nares..158944319"	"Anterior.nares"	"HMP"
"Anterior.nares..158984779"	"Anterior.nares"	"HMP"
"Anterior.nares..763961826"	"Anterior.nares"	"HMP"
"Anterior.nares..763577454"	"Anterior.nares"	"HMP"
"Anterior.nares..763496533"	"Anterior.nares"	"HMP"
"Anterior.nares..765135172"	"Anterior.nares"	"HMP"
